colonia_alcaldia,consumo_total,tot_hog,nivel_promedio_ponderado,diversidad_shannon,PC1,PC2,PC3,PC4
ISSSFAM No. 1 (U HAB)-VILLA TLALPAN | TLALPAN,15516.6,818,1.8096432208086823,0.4867398847652692,-0.7293710372293304,0.2963586311119781,0.38102957860338516,-0.12258265911449162
IXTLAHUACAN | IZTAPALAPA,2762.38,4840,1.5130503406482816,0.6928065190927037,0.8887110165746644,-1.896506996152762,0.8620307719772404,1.6361936216326272
IZTACCIHUATL | BENITO JUAREZ,71450.72,977,2.0861886346281744,0.19314776635650857,-0.5440449179204899,0.29811618797180295,-0.6781513308269906,-0.12701989304357625
JACARANDAS | IZTAPALAPA,8958.75,2367,1.6657212222687316,0.6429037208079511,-0.027669360463295146,-0.5459352857182446,0.7481308436895413,0.505495663833897
JAIME TORRES BODET | TLAHUAC,1259.9399999999998,2016,1.9669825547248283,0.14507950433046987,-0.752579318528379,-0.2646810170420299,-0.33644026210835043,0.8477341048188636
JALALPA (AMPL) | ALVARO OBREGON,4886.71,445,1.2786680609244256,0.5916909478944096,-1.0507423354583318,0.05059853223118884,0.836722321025816,-0.5800560238730691
JALALPA EL GRANDE | ALVARO OBREGON,32700.29,2783,1.0,-0.0,-0.8718062319964548,-1.614555974634463,-0.5823601323176268,0.5441361575262733
JALALPA TEPITO | ALVARO OBREGON,35468.26,998,1.219918033757506,0.5268041999368148,-0.7350574376864876,-0.33819541138204984,0.5075127876118897,-0.5279653118549459
JALALPA | ALVARO OBREGON,1549.65,1511,1.0,-0.0,-1.5858399091723494,-0.9418503220916904,-0.3480908456004963,0.15312084891938363
JAMAICA | VENUSTIANO CARRANZA,126832.22,1551,1.0555146791564478,0.21444332769081564,-0.37462218925431484,-0.9819833305793115,-0.6970467238301071,-0.8298989283975837
JANITZIO | VENUSTIANO CARRANZA,39955.81,722,1.9165810929624503,0.28704113192044467,-0.8155909584940749,0.3419111121648136,-0.22409652192633228,-0.1706832509610549
JARDIN AZPEITIA | AZCAPOTZALCO,60750.66,737,2.0,-0.0,-1.012928745011515,0.28383445796335394,-0.9880707912767984,-0.10049658611537111
JARDIN BALBUENA I | VENUSTIANO CARRANZA,165421.06,4129,3.21725782678457,1.1318392030520381,3.128704304171474,-0.028204258124026063,0.2961390202564746,0.7948237654963577
JARDIN BALBUENA II | VENUSTIANO CARRANZA,93599.06999999999,1567,2.2131681436578376,1.2438502112499767,1.3180779262273197,0.4655677201447139,1.3557291291757811,-0.5452125779029704
JARDIN BALBUENA III | VENUSTIANO CARRANZA,180803.27999999997,4561,2.659838029487076,1.2126853824660224,3.2588328098489057,-0.7396387779606663,0.5206571145843527,0.5386956226313931
JARDINES COAPA-BELISARIO DOMINGUEZ | TLALPAN,12126.93,576,3.403833451665013,0.882499670107368,0.41708944989683294,2.009254996850698,0.7832842336028559,0.43123261433720517
JARDINES DE CHURUBUSCO | IZTAPALAPA,9294.95,502,1.55948875464634,0.6860525628962078,-0.7415508775192551,0.3053910843661654,0.9253947455445403,-0.48485788542203784
JARDINES DE COYOACAN (FRACC) | COYOACAN,42105.15,583,4.0,-0.0,-0.2879554967186286,2.1984235762962867,-1.4504564239472857,1.0611056004876749
JARDINES DE LA PALMA (HUIZACHITO) | CUAJIMALPA DE MORELOS,63468.22999999999,1035,1.9660507312083542,0.8896456052751015,0.30779728950447643,0.41678157241842045,0.88214127735241,-0.5140139366067119
JARDINES DE SAN LORENZO | IZTAPALAPA,1716.38,1946,2.0,-0.0,-0.9573776977814126,-0.2517600560595388,-0.6544452352922201,0.9134041228874578
JARDINES DEL AJUSCO | TLALPAN,1011.6700000000001,1218,3.6366206371642926,0.5491477589989479,0.24534330204497812,1.7940854147099907,0.058632806049967325,1.1459056217151828
JARDINES DEL LLANO-U.H. VILLA TLATEMPA | TLAHUAC,11915.62,768,1.9064186336925817,0.31074641088365595,-0.9674467356811429,0.35092975815248034,0.003706672693272276,0.035342231210240604
JARDINES DEL PEDREGAL | COYOACAN,138125.55000000002,373,3.677419347832461,0.34131324672937735,0.6183967297063071,2.019404944063369,-1.228709030200441,-0.11338173325692251
JARDINES DEL SUR | XOCHIMILCO,58934.75,1635,3.4914404489711077,0.6993726284649018,0.9511547872648443,1.4392426343723927,0.04335383244009543,0.7607284856822285
JARDINES EN LA MONTAA | TLALPAN,228307.47,1387,3.567386165682621,0.684037695221088,2.059332749019611,1.4284663572727818,-1.06671620056172,-0.5359217940267242
JARDINES TECMA | IZTACALCO,21304.33,488,1.8993082626865054,0.6880691663314982,-0.5042218711783037,0.6075578700824553,0.7554869563259723,-0.39273691203272315
JESUS DEL MONTE | CUAJIMALPA DE MORELOS,35036.56,858,2.0124992293764,0.9284397222613132,0.11269889628533869,0.5945537081044941,1.134661296304227,-0.3909149523750306
JORGE NEGRETE | GUSTAVO A. MADERO,88958.37000000001,2493,1.4417179631326427,0.698036822588465,0.5555830423717275,-0.8864127777624891,0.42456112264475815,-0.16858260139950434
JOSE LOPEZ PORTILLO I | IZTAPALAPA,63240.65,3481,1.3151340158584706,0.6231470616379371,0.6002340447893637,-1.4920004967366192,0.4340083727567498,0.47082082480270443
JOSE LOPEZ PORTILLO II | IZTAPALAPA,64318.0,2884,1.3888143288037562,0.6682147659189693,0.4700521471424912,-1.1117538561689349,0.5194918549008165,0.18781038536390726
JOSE MA MORELOS Y PAVON (U HAB) | IZTAPALAPA,0.0,465,0.0,-0.0,-2.4618222629836826,-1.3247105207110004,-0.014431306096210697,-0.893379411925567
JOSE MARIA PINO SUAREZ | ALVARO OBREGON,67058.48000000001,1780,1.7049818307841154,0.6065839265143096,0.12123235798123726,-0.29761683402382544,0.31292882767103136,-0.15723397436276396
JOSEFA ORTIZ DE DOMINGUEZ | BENITO JUAREZ,42571.87,579,2.0487939571364846,0.19494869473048626,-0.9166462897933348,0.4976936921295801,-0.47004328442583937,-0.13238658443610954
